timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785152886301,9404,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-22,text,true,,14189,433,24,24,https://studyflow-assignment2-backend.onrender.com/api/courses,9403,0,0
1785152887685,8023,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-30,text,true,,14189,433,24,24,https://studyflow-assignment2-backend.onrender.com/api/courses,8023,0,0
1785152886878,8831,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-28,text,true,,14189,433,24,24,https://studyflow-assignment2-backend.onrender.com/api/courses,8830,0,0
1785152880806,14905,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-11,text,true,,844156,431,24,24,https://studyflow-assignment2-backend.onrender.com/api/tasks,14890,0,0
1785152888684,7318,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-25,text,true,,14189,433,24,24,https://studyflow-assignment2-backend.onrender.com/api/courses,7318,0,0
1785152895993,27,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-17,text,true,,1060,139,24,24,https://studyflow-frontend-hace.onrender.com/,27,0,0
1785152890092,6007,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-24,text,true,,14189,433,24,24,https://studyflow-assignment2-backend.onrender.com/api/courses,6007,0,0
1785152889270,6838,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-26,text,true,,14189,433,24,24,https://studyflow-assignment2-backend.onrender.com/api/courses,6838,0,0
1785152890671,5542,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-42,text,true,,14189,433,24,24,https://studyflow-assignment2-backend.onrender.com/api/courses,5542,0,0
1785152896211,32,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-11,text,true,,1060,139,24,24,https://studyflow-frontend-hace.onrender.com/,32,0,0
1785152896524,39,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-17,text,true,,251717,163,24,24,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,29,0,0
1785152896748,41,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-11,text,true,,251725,163,24,24,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,34,0,0
1785152887506,9590,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-40,text,true,,844148,431,24,24,https://studyflow-assignment2-backend.onrender.com/api/tasks,9564,0,0
1785152891393,6005,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-50,text,true,,14189,433,24,24,https://studyflow-assignment2-backend.onrender.com/api/courses,6004,0,0
1785152889507,7988,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-23,text,true,,844147,431,24,24,https://studyflow-assignment2-backend.onrender.com/api/tasks,7941,0,0
1785152893485,4018,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-31,text,true,,14189,433,24,24,https://studyflow-assignment2-backend.onrender.com/api/courses,4018,0,0
1785152894142,3361,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-43,text,true,,14189,433,24,24,https://studyflow-assignment2-backend.onrender.com/api/courses,3361,0,0
1785152897597,29,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-40,text,true,,1060,139,24,24,https://studyflow-frontend-hace.onrender.com/,29,0,0
1785152898001,74,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-23,text,true,,1060,139,24,24,https://studyflow-frontend-hace.onrender.com/,74,0,44
1785152898132,42,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-40,text,true,,251725,163,24,24,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,30,0,0
1785152891736,6557,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-49,text,true,,844138,431,24,24,https://studyflow-assignment2-backend.onrender.com/api/tasks,6510,0,0
1785152895066,3234,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-45,text,true,,14189,433,24,24,https://studyflow-assignment2-backend.onrender.com/api/courses,3234,0,0
1785152895890,2612,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-48,text,true,,14189,433,24,24,https://studyflow-assignment2-backend.onrender.com/api/courses,2612,0,45
1785152898580,80,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-23,text,true,,251725,163,24,24,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,38,0,0
1785152898795,71,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-49,text,true,,1060,139,24,24,https://studyflow-frontend-hace.onrender.com/,71,0,43
1785152892398,6674,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-44,text,true,,844139,431,24,24,https://studyflow-assignment2-backend.onrender.com/api/tasks,6599,0,0
1785152899369,72,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-49,text,true,,251725,163,24,24,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,30,0,0
1785152894570,4935,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-36,text,true,,14189,433,24,24,https://studyflow-assignment2-backend.onrender.com/api/courses,4935,0,75
1785152888907,10685,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-47,text,true,,844139,431,24,24,https://studyflow-assignment2-backend.onrender.com/api/tasks,10638,0,0
1785152899578,25,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-44,text,true,,1060,139,24,24,https://studyflow-frontend-hace.onrender.com/,25,0,0
1785152900098,26,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-47,text,true,,1060,139,24,24,https://studyflow-frontend-hace.onrender.com/,26,0,0
1785152900104,44,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-44,text,true,,251725,163,24,24,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,27,0,0
1785152896207,4352,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-29,text,true,,844170,431,24,24,https://studyflow-assignment2-backend.onrender.com/api/tasks,4348,0,0
1785152900629,36,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-47,text,true,,251725,163,23,23,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,28,0,0
1785152888911,12113,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-33,text,true,,844153,431,23,23,https://studyflow-assignment2-backend.onrender.com/api/tasks,12029,0,0
1785152901527,32,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-33,text,true,,1060,139,23,23,https://studyflow-frontend-hace.onrender.com/,32,0,0
1785152896194,5604,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-35,text,true,,844139,431,23,23,https://studyflow-assignment2-backend.onrender.com/api/tasks,5556,0,0
1785152902065,44,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-33,text,true,,251725,163,22,22,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,32,0,0
1785152896206,6085,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-14,text,true,,844140,431,22,22,https://studyflow-assignment2-backend.onrender.com/api/tasks,6041,0,0
1785152902792,67,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-14,text,true,,1060,139,22,22,https://studyflow-frontend-hace.onrender.com/,67,0,42
1785152897064,5833,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-17,text,true,,14189,433,22,22,https://studyflow-assignment2-backend.onrender.com/api/courses,5833,0,48
1785152896215,7110,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-28,text,true,,844171,431,22,22,https://studyflow-assignment2-backend.onrender.com/api/tasks,7105,0,0
1785152903361,71,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-14,text,true,,251717,163,22,22,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,30,0,0
1785152903830,75,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-28,text,true,,1060,139,22,22,https://studyflow-frontend-hace.onrender.com/,74,0,48
1785152897294,6615,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-11,text,true,,14189,433,22,22,https://studyflow-assignment2-backend.onrender.com/api/courses,6615,0,45
1785152896210,7783,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-22,text,true,,844147,431,22,22,https://studyflow-assignment2-backend.onrender.com/api/tasks,7737,0,0
1785152904410,81,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-28,text,true,,251717,163,22,22,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,40,0,0
1785152896504,8016,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-25,text,true,,844163,431,22,22,https://studyflow-assignment2-backend.onrender.com/api/tasks,8001,0,0
1785152904498,76,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-22,text,true,,1060,139,22,22,https://studyflow-frontend-hace.onrender.com/,76,0,45
1785152896212,8879,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-30,text,true,,844139,431,22,22,https://studyflow-assignment2-backend.onrender.com/api/tasks,8832,0,0
1785152905026,73,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-25,text,true,,1060,139,22,22,https://studyflow-frontend-hace.onrender.com/,73,0,44
1785152905076,70,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-22,text,true,,251725,163,22,22,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,29,0,0
1785152896604,8972,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-24,text,true,,844164,431,22,22,https://studyflow-assignment2-backend.onrender.com/api/tasks,8967,0,0
1785152905597,69,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-30,text,true,,1060,139,21,21,https://studyflow-frontend-hace.onrender.com/,69,0,44
1785152905604,74,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-25,text,true,,251725,163,21,21,https://studyflow-frontend-hace.onrender.com/assets/index-CYlsibpx.js,33,0,0
1785152896614,9296,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-26,text,true,,844165,431,21,21,https://studyflow-assignment2-backend.onrender.com/api/tasks,9282,0,0
