timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785165518067,1474,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-5,true,,14203,433,9,9,https://studyflow-assignment2-backend.onrender.com/api/courses,1474,0,0
1785165519420,305,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-1,true,,14203,433,9,9,https://studyflow-assignment2-backend.onrender.com/api/courses,305,0,0
1785165520014,28,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-4,true,,1059,139,9,9,https://studyflow-frontend-hace.onrender.com/,27,0,0
1785165520015,47,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-3,true,,240706,163,9,9,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,26,0,0
1785165519938,628,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-2,true,,844152,431,9,9,https://studyflow-assignment2-backend.onrender.com/api/tasks,521,0,0
1785165520545,46,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-4,true,,240714,163,9,9,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,24,0,0
1785165516318,4307,POST /api/auth/login,200,OK,Moderate Load - 50 users / 60s ramp 2-6,true,,1549,271,10,10,https://studyflow-assignment2-backend.onrender.com/api/auth/login,4307,0,42
1785165520567,412,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-3,true,,14203,433,10,10,https://studyflow-assignment2-backend.onrender.com/api/courses,412,0,0
1785165521068,21,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-2,true,,1059,139,10,10,https://studyflow-frontend-hace.onrender.com/,21,0,0
1785165521127,62,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-6,true,,1059,139,10,10,https://studyflow-frontend-hace.onrender.com/,62,0,36
1785165520045,1371,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-5,true,,844168,431,10,10,https://studyflow-assignment2-backend.onrender.com/api/tasks,1289,0,0
1785165521595,38,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-2,true,,240706,163,10,10,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,23,0,0
1785165521097,540,GET /api/courses (list),200,OK,Moderate Load - 50 users / 60s ramp 2-4,true,,14203,433,10,10,https://studyflow-assignment2-backend.onrender.com/api/courses,540,0,0
1785165521695,55,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-6,true,,240714,163,10,10,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,23,0,0
1785165521921,20,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-5,true,,1059,139,11,11,https://studyflow-frontend-hace.onrender.com/,20,0,0
1785165521485,641,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-3,true,,844171,431,11,11,https://studyflow-assignment2-backend.onrender.com/api/tasks,561,0,0
1785165520231,2288,GET /api/tasks (list),200,OK,Moderate Load - 50 users / 60s ramp 2-1,true,,844183,431,11,11,https://studyflow-assignment2-backend.onrender.com/api/tasks,2208,0,0
1785165522445,98,GET main JS bundle,200,OK,Moderate Load - 50 users / 60s ramp 2-5,true,,240706,163,11,11,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,76,0,0
1785165522632,20,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-3,true,,1059,139,11,11,https://studyflow-frontend-hace.onrender.com/,20,0,0
1785165523025,20,GET index.html (frontend entry),200,OK,Moderate Load - 50 users / 60s ramp 2-1,true,,1059,139,12,12,https://studyflow-frontend-hace.onrender.com/,20,0,0
