timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785165461480,42,GET main JS bundle,200,OK,Light Load - 10 users / 30s ramp 1-3,true,,240712,163,5,5,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,25,0,0
1785165461825,19,GET index.html (frontend entry),200,OK,Light Load - 10 users / 30s ramp 1-1,true,,1058,139,5,5,https://studyflow-frontend-hace.onrender.com/,19,0,0
1785165462350,51,GET main JS bundle,200,OK,Light Load - 10 users / 30s ramp 1-1,true,,240705,163,5,5,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,35,0,0
1785165461965,481,GET /api/tasks (list),200,OK,Light Load - 10 users / 30s ramp 1-2,true,,844153,431,5,5,https://studyflow-assignment2-backend.onrender.com/api/tasks,397,0,0
1785165461982,551,GET /api/courses (list),200,OK,Light Load - 10 users / 30s ramp 1-4,true,,14203,433,5,5,https://studyflow-assignment2-backend.onrender.com/api/courses,551,0,0
1785165462028,602,GET /api/courses (list),200,OK,Light Load - 10 users / 30s ramp 1-3,true,,14203,433,5,5,https://studyflow-assignment2-backend.onrender.com/api/courses,601,0,0
1785165461782,1051,POST /api/auth/login,200,OK,Light Load - 10 users / 30s ramp 1-5,true,,1549,271,5,5,https://studyflow-assignment2-backend.onrender.com/api/auth/login,1051,0,35
1785165462902,48,GET /api/courses (list),200,OK,Light Load - 10 users / 30s ramp 1-1,true,,14203,433,5,5,https://studyflow-assignment2-backend.onrender.com/api/courses,48,0,0
1785165462950,21,GET index.html (frontend entry),200,OK,Light Load - 10 users / 30s ramp 1-2,true,,1059,139,5,5,https://studyflow-frontend-hace.onrender.com/,20,0,0
1785165463340,61,GET index.html (frontend entry),200,OK,Light Load - 10 users / 30s ramp 1-5,true,,1059,139,5,5,https://studyflow-frontend-hace.onrender.com/,61,0,38
1785165463040,458,GET /api/tasks (list),200,OK,Light Load - 10 users / 30s ramp 1-4,true,,844165,431,5,5,https://studyflow-assignment2-backend.onrender.com/api/tasks,391,0,0
1785165463476,38,GET main JS bundle,200,OK,Light Load - 10 users / 30s ramp 1-2,true,,240706,163,5,5,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,23,0,0
1785165463135,803,GET /api/tasks (list),200,OK,Light Load - 10 users / 30s ramp 1-3,true,,844177,431,5,5,https://studyflow-assignment2-backend.onrender.com/api/tasks,703,0,0
1785165463907,61,GET main JS bundle,200,OK,Light Load - 10 users / 30s ramp 1-5,true,,240706,163,5,5,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,31,0,0
1785165464003,20,GET index.html (frontend entry),200,OK,Light Load - 10 users / 30s ramp 1-4,true,,1059,139,5,5,https://studyflow-frontend-hace.onrender.com/,19,0,0
1785165463456,646,GET /api/tasks (list),200,OK,Light Load - 10 users / 30s ramp 1-1,true,,844171,431,5,5,https://studyflow-assignment2-backend.onrender.com/api/tasks,581,0,0
1785165464019,86,GET /api/courses (list),200,OK,Light Load - 10 users / 30s ramp 1-2,true,,14203,433,5,5,https://studyflow-assignment2-backend.onrender.com/api/courses,86,0,0
1785165464442,23,GET index.html (frontend entry),200,OK,Light Load - 10 users / 30s ramp 1-3,true,,1059,139,6,6,https://studyflow-frontend-hace.onrender.com/,22,0,0
1785165464474,50,GET /api/courses (list),200,OK,Light Load - 10 users / 30s ramp 1-5,true,,14203,433,6,6,https://studyflow-assignment2-backend.onrender.com/api/courses,50,0,0
1785165464528,49,GET main JS bundle,200,OK,Light Load - 10 users / 30s ramp 1-4,true,,240706,163,6,6,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,22,0,0
1785165464603,19,GET index.html (frontend entry),200,OK,Light Load - 10 users / 30s ramp 1-1,true,,1059,139,6,6,https://studyflow-frontend-hace.onrender.com/,19,0,0
1785165464610,400,GET /api/tasks (list),200,OK,Light Load - 10 users / 30s ramp 1-2,true,,844177,431,6,6,https://studyflow-assignment2-backend.onrender.com/api/tasks,320,0,0
1785165464968,70,GET main JS bundle,200,OK,Light Load - 10 users / 30s ramp 1-3,true,,240706,163,6,6,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,43,0,0
1785165465129,38,GET main JS bundle,200,OK,Light Load - 10 users / 30s ramp 1-1,true,,240706,163,6,6,https://studyflow-frontend-hace.onrender.com/assets/index-vak3zIfW.js,24,0,0
